urlsave,probcharg,kilowatt,connector,usernames,usercars,dates,comments
https://www.plugshare.com/location/100,Broken Hardware, Kilowatts,J-1772,faronion,Tesla Model 3,"Feb 9, 2025","Feb 9, 2025check_circlecancelaccess_timeinfofaronion solarpowerTesla Model 3Broken Hardware J-1772  Volts  Amps  Kilowatts Per on-site security, none of the 4 J1772s are operational.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/100,Could Not Activate, Kilowatts,J-1772,Joshua,Chevrolet Volt Plug-In Hybrid 2019,"Dec 13, 2024","Dec 13, 2024check_circlecancelaccess_timeinfoJoshua solarpowerChevrolet Volt Plug-In Hybrid 2019Could Not Activate J-1772  Volts  Amps  Kilowatts ALL J1772’s seem to be inoperable and 120V outlet was in use by security golf cart.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/100,Could Not Activate, Kilowatts,J-1772,Micah Banks,Tesla Model 3,"Dec 6, 2024","Dec 6, 2024check_circlecancelaccess_timeinfoMicah Banks solarpowerTesla Model 3Could Not Activate J-1772  Volts  Amps  Kilowatts Red light on all j-1772 chargers only wall outlet worked @ 1kwh(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/100,"", Kilowatts,"",Monica Alvarez,Fiat 500e 2013,"Nov 8, 2024","Nov 8, 2024check_circlecancelaccess_timeinfoMonica Alvarez solarpowerFiat 500e 2013   Volts  Amps  Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/100,"", Kilowatts,J-1772,cpraslin,Toyota bZ4x 2023,"Oct 13, 2024","Oct 13, 2024check_circlecancelaccess_timeinfocpraslin solarpowerToyota bZ4x 2023 J-1772  Volts  Amps  Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/100,"", Kilowatts,"",A former PlugShare member,Kia Niro EV 2022,"Oct 8, 2024","Oct 8, 2024check_circlecancelaccess_timeinfoA former PlugShare member solarpowerKia Niro EV 2022   Volts  Amps  Kilowatts Security kicked me out(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/100,"",6 Kilowatts,"",TeslaModel3,Tesla Model 3,"Sep 1, 2024","Sep 1, 2024check_circlecancelaccess_timeinfoTeslaModel3 solarpowerTesla Model 3   Volts  Amps 6 Kilowatts The new security is super chill. I asked him if I could charge and he said “sure, that’s what they’re for.” I knew the last security wouldn’t last giving everyone attitude knocking on your window telling you to leave because they’re for customers only. I hated that guy! I will definitely start charging here again.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/100,"", Kilowatts,J-1772,turibe626,Other Vehicle,"Aug 27, 2024","Aug 27, 2024check_circlecancelaccess_timeinfoturibe626 solarpowerOther Vehicle J-1772  Volts  Amps  Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/100,"", Kilowatts,J-1772,Anthony David,Tesla Model 3,"Aug 10, 2024","Aug 10, 2024check_circlecancelaccess_timeinfoAnthony David solarpowerTesla Model 3 J-1772  Volts  Amps  Kilowatts Sometimes they work sometimes they don’t I think whoever is on security turns them on and Orr but never know when they are on(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/100,"",6 Kilowatts,"",Abel Galvez,Tesla Model Y,"Jul 26, 2024","Jul 26, 2024check_circlecancelaccess_timeinfoAbel Galvez solarpowerTesla Model Y   Volts  Amps 6 Kilowatts Charger worked with zero issues.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
