urlsave,probcharg,kilowatt,connector,usernames,usercars,dates,comments
https://www.plugshare.com/location/114,Broken Hardware, Kilowatts,J-1772,NONo443,Chevrolet Volt 2017,"Mar 26, 2025","Mar 26, 2025check_circlecancelaccess_timeinfoNONo443 solarpowerChevrolet Volt 2017Broken Hardware J-1772  Volts  Amps  Kilowatts Currently powered off(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/114,Broken Hardware, Kilowatts,J-1772,cjo1821,BMW X5 xDrive50e Plug-In Hybrid 2025,"Jan 4, 2025","Jan 4, 2025check_circlecancelaccess_timeinfocjo1821 solarpowerBMW X5 xDrive50e Plug-In Hybrid 2025Broken Hardware J-1772  Volts  Amps  Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/114,Permanently Closed, Kilowatts,J-1772,dumblydore,Tesla Model 3,"Dec 5, 2023","Dec 5, 2023check_circlecancelaccess_timeinfodumblydore solarpowerTesla Model 3Permanently Closed J-1772  Volts  Amps  Kilowatts Looks permanently closedDec 20, 2023Operator ResponseWe apologize for the inconvenience! We have an open service case for the charging station. It will be repaired soon. If you need further assistance, please email support@blinkcharging.com.  

 

Charge on!   
OA(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/114,"", Kilowatts,J-1772,Jason H,Kia Niro EV 2023,"Oct 21, 2023","Oct 21, 2023check_circlecancelaccess_timeinfoJason H solarpowerKia Niro EV 2023 J-1772  Volts  Amps  Kilowatts It doesn’t work anymore and Bookman’s has moved. Don’t bother trying. Screen is completely blank even though the handle is blinking green.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/114,"",0 Kilowatts,J-1772,Bob Myrand,Nissan LEAF 2016,"Aug 23, 2023","Aug 23, 2023check_circlecancelaccess_timeinfoBob Myrand solarpowerNissan LEAF 2016 J-1772  Volts  Amps 0 Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/114,"",6 Kilowatts,J-1772,CHARLESP2009,Tesla Model 3,"Jul 29, 2023","Jul 29, 2023check_circlecancelaccess_timeinfoCHARLESP2009 solarpowerTesla Model 3 J-1772  Volts  Amps 6 Kilowatts Screen still stuck on initializing but I was able to activate with my RFID card.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/114,Could Not Activate,0 Kilowatts,J-1772,Kendra Martin,Kia Niro EV 2019,"Jul 19, 2023","Jul 19, 2023check_circlecancelaccess_timeinfoKendra Martin solarpowerKia Niro EV 2019Could Not Activate J-1772  Volts  Amps 0 Kilowatts Screen displayed ""initializing"" and could not charge...(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/114,Could Not Activate,0 Kilowatts,J-1772,Lightning McQueen,Ford F-150 Lightning 2023,"Jul 7, 2023","Jul 7, 2023check_circlecancelaccess_timeinfoLightning McQueen solarpowerFord F-150 Lightning 2023Could Not Activate J-1772  Volts  Amps 0 Kilowatts Still ""initializing""(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/114,Could Not Activate, Kilowatts,J-1772,CHARLESP2009,Tesla Model 3,"Jun 27, 2023","Jun 27, 2023check_circlecancelaccess_timeinfoCHARLESP2009 solarpowerTesla Model 3Could Not Activate J-1772  Volts  Amps  Kilowatts Screen stuck “initializing”. Normally can charge via app but now stupid app wants me to “complete profile” with irrelevant info first yet doesn’t load options to actually do so. God bless ya Blink, always living down to our expectations.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/114,"", Kilowatts,J-1772,Walter,Kia Niro EV 2019,"Jun 12, 2023","Jun 12, 2023check_circlecancelaccess_timeinfoWalter solarpowerKia Niro EV 2019 J-1772  Volts  Amps  Kilowatts Did not start charging(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/114,Could Not Activate,0 Kilowatts,J-1772,GJSimon,Nissan LEAF 2016,"May 28, 2023","May 28, 2023check_circlecancelaccess_timeinfoGJSimon solarpowerNissan LEAF 2016Could Not Activate J-1772  Volts  Amps 0 Kilowatts Station was not charging. Called blink support, they said the app and station weren't communicating and that my leaf was charging. Spent an hour shopping and came back to no additional charge(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/114,"",6 Kilowatts,J-1772,William Loehr,Chevrolet Bolt EV 2017,"May 27, 2023","May 27, 2023check_circlecancelaccess_timeinfoWilliam Loehr solarpowerChevrolet Bolt EV 2017 J-1772  Volts  Amps 6 Kilowatts Only charged for a few mins. Was able to start from the app but the screen was stuck initializing and it would not update info on the app but it was working at about 6KW.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/114,Could Not Activate, Kilowatts,J-1772,Mark Klobas,Tesla Model 3,"May 20, 2023","May 20, 2023check_circlecancelaccess_timeinfoMark Klobas solarpowerTesla Model 3Could Not Activate J-1772  Volts  Amps  Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/114,Could Not Activate, Kilowatts,J-1772,Mark Klobas,Tesla Model 3,"May 20, 2023","May 20, 2023check_circlecancelaccess_timeinfoMark Klobas solarpowerTesla Model 3Could Not Activate J-1772  Volts  Amps  Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/114,"",5 Kilowatts,J-1772,CG,Nissan LEAF 2010,"May 20, 2023","May 20, 2023check_circlecancelaccess_timeinfoCG solarpowerNissan LEAF 2010 J-1772  Volts  Amps 5 Kilowatts May 29, 2023Operator ResponseThank you for sharing this feedback. We are happy to see you had a great charging experience. We look forward to you using more of our chargers in the future. Download our Blink Mobile app to stay updated with all of our favorite charging locations. https://onelink.to/5kcvhw 

Charge on!
RR(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
