urlsave,probcharg,kilowatt,connector,usernames,usercars,dates,comments
https://www.plugshare.com/location/116,"",0 Kilowatts,J-1772,Dan's ID.4,"","Jun 10, 2024","Jun 10, 2024check_circlecancelaccess_timeinfoDan's ID.4 solarpower J-1772  Volts  Amps 0 Kilowatts Chargers restricted to MG&E employees only.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/116,"", Kilowatts,J-1772,Sparky,Jaguar I-PACE,"Dec 28, 2023","Dec 28, 2023check_circlecancelaccess_timeinfoSparky solarpowerJaguar I-PACE J-1772  Volts  Amps  Kilowatts MG&E has announced that the pricing structure for their slow, low-powered chargers across the Madison area will now be priced at $0.34/kwh or $0.29/kwh if you are enrolled in the MG&E’s EV owners group and only at “select” charging stations.  What is select?  Who knows? It’s MG&E so confusion is expected. Level 2 chargers appear to be priced now at $0.18/kwh. Again, as with so much with MG&E, it is unclear if the $0.05/kwh discount applies to these units(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/116,"",6 Kilowatts,J-1772,lejf,Tesla Model S,"Oct 28, 2023","Oct 28, 2023check_circlecancelaccess_timeinfolejf solarpowerTesla Model S J-1772  Volts  Amps 6 Kilowatts Charger says it wasn’t set up but tapping the charge point card on Apple Pay made it work. Free I think?
210v 30a(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/116,"",6 Kilowatts,J-1772,lemon,Tesla Model 3,"Sep 10, 2023","Sep 10, 2023check_circlecancelaccess_timeinfolemon solarpowerTesla Model 3 J-1772  Volts  Amps 6 Kilowatts Great weekend charging location.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/116,"", Kilowatts,J-1772,bswets,Porsche Taycan 2020,"Aug 5, 2023","Aug 5, 2023check_circlecancelaccess_timeinfobswets solarpowerPorsche Taycan 2020 J-1772  Volts  Amps  Kilowatts “You are not authorized”. Weekend, too.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/116,"",6 Kilowatts,J-1772,Steven Sherman,Kia EV6 2022,"Jul 31, 2023","Jul 31, 2023check_circlecancelaccess_timeinfoSteven Sherman solarpowerKia EV6 2022 J-1772  Volts  Amps 6 Kilowatts $2/hour - park + charge
Nice location. Lot was completely empty on a Sunday and I stayed at a hotel a block away with a slip in the window. I’m guessing generally supportive of EV charging but double check if during the week. Level 2 stations across the street were closed / employees only(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/116,"",49 Kilowatts,J-1772,Jason,Kia Niro EV 2019,"Jun 16, 2023","Jun 16, 2023check_circlecancelaccess_timeinfoJason solarpowerKia Niro EV 2019 J-1772  Volts  Amps 49 Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/116,"",6 Kilowatts,J-1772,lejf,Tesla Model S,"May 31, 2023","May 31, 2023check_circlecancelaccess_timeinfolejf solarpowerTesla Model S J-1772  Volts  Amps 6 Kilowatts Generally open. Not sure how much weight is in the 30 min thing, but I’ve left my car here charging all day on the weekend and all night

209v 30a(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/116,"",6 Kilowatts,J-1772,bgoplen,Kia Niro EV 2022,"Oct 22, 2022","Oct 22, 2022check_circlecancelaccess_timeinfobgoplen solarpowerKia Niro EV 2022 J-1772  Volts  Amps 6 Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/116,"",6 Kilowatts,J-1772,kgriffin,Chevrolet Bolt EV 2017,"Jul 13, 2022","Jul 13, 2022check_circlecancelaccess_timeinfokgriffin solarpowerChevrolet Bolt EV 2017 J-1772  Volts  Amps 6 Kilowatts This is working just fine, both stations charging (other vehicle, a Volt, is full)(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/116,Broken Hardware,0 Kilowatts,J-1772,S Wiedel,Tesla Model 3,"Jul 2, 2022","Jul 2, 2022check_circlecancelaccess_timeinfoS Wiedel solarpowerTesla Model 3Broken Hardware J-1772  Volts  Amps 0 Kilowatts J1772 charger in visitor lot is out of service.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/116,"", Kilowatts,J-1772,sandy,Chevrolet Bolt EV 2017,"Jun 18, 2022","Jun 18, 2022check_circlecancelaccess_timeinfosandy solarpowerChevrolet Bolt EV 2017 J-1772  Volts  Amps  Kilowatts Dc charger broken, level 2 charger restricted. What a joke(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/116,"", Kilowatts,J-1772,ReddieKilowatt,Chevrolet Bolt EV 2020,"Jun 5, 2022","Jun 5, 2022check_circlecancelaccess_timeinfoReddieKilowatt solarpowerChevrolet Bolt EV 2020 J-1772  Volts  Amps  Kilowatts Called rep. Said for employees only.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/116,"", Kilowatts,J-1772,ReddieKilowatt,Chevrolet Bolt EV 2020,"Jun 4, 2022","Jun 4, 2022check_circlecancelaccess_timeinfoReddieKilowatt solarpowerChevrolet Bolt EV 2020 J-1772  Volts  Amps  Kilowatts Saturday ~2 pm. Said not authorized. Called. ChargePoint rep reset it but i had to swipe my RFID card again to get it to work.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/116,"",6 Kilowatts,J-1772,Eray Dursun (MidwestEV.us),Volkswagen ID.4,"Apr 6, 2022","Apr 6, 2022check_circlecancelaccess_timeinfoEray Dursun (MidwestEV.us) solarpowerVolkswagen ID.4 J-1772  Volts  Amps 6 Kilowatts The right handle appears to be broken as it would not fully insert into my car. I tried the left one and it worked fine.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/116,Could Not Activate, Kilowatts,J-1772,Mat,Chevrolet Bolt EV 2017,"Dec 15, 2021","Dec 15, 2021check_circlecancelaccess_timeinfoMat solarpowerChevrolet Bolt EV 2017Could Not Activate J-1772  Volts  Amps  Kilowatts Called charge point, they couldn’t activate it (sad fart sound) ☹️(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/116,"",0 Kilowatts,J-1772,uwroses,Ford Mustang Mach-E 2021,"Nov 20, 2021","Nov 20, 2021check_circlecancelaccess_timeinfouwroses solarpowerFord Mustang Mach-E 2021 J-1772  Volts  Amps 0 Kilowatts Not a fast charger as stated.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
