urlsave,probcharg,kilowatt,connector,usernames,usercars,dates,comments
https://www.plugshare.com/location/115,"",6 Kilowatts,J-1772,Paul K,Ford Focus Electric,"Aug 13, 2024","Aug 13, 2024check_circlecancelaccess_timeinfoPaul K solarpowerFord Focus Electric J-1772  Volts  Amps 6 Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/115,"",6 Kilowatts,J-1772,CHARLESP2009,Tesla Model 3,"Aug 7, 2024","Aug 7, 2024check_circlecancelaccess_timeinfoCHARLESP2009 solarpowerTesla Model 3 J-1772  Volts  Amps 6 Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/115,"",6 Kilowatts,J-1772,CHARLESP2009,Tesla Model 3,"Mar 28, 2024","Mar 28, 2024check_circlecancelaccess_timeinfoCHARLESP2009 solarpowerTesla Model 3 J-1772  Volts  Amps 6 Kilowatts Def recommend getting the RFID card, the app is horrible.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/115,"", Kilowatts,J-1772,jon c,Subaru Solterra 2023,"Mar 24, 2024","Mar 24, 2024check_circlecancelaccess_timeinfojon c solarpowerSubaru Solterra 2023 J-1772  Volts  Amps  Kilowatts The blink app had some difficulty finding the station. Had to type in the serial number by hand but works.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/115,"",6 Kilowatts,J-1772,Rick,Ford Mustang Mach-E 2023,"Jan 16, 2024","Jan 16, 2024check_circlecancelaccess_timeinfoRick solarpowerFord Mustang Mach-E 2023 J-1772  Volts  Amps 6 Kilowatts Yes, it’s working now.  Successfully charged for 90 mins or so while at Bookmans!(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/115,"",6 Kilowatts,J-1772,CHARLESP2009,Tesla Model 3,"Nov 2, 2023","Nov 2, 2023check_circlecancelaccess_timeinfoCHARLESP2009 solarpowerTesla Model 3 J-1772  Volts  Amps 6 Kilowatts Back in business :-)(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/115,"",6 Kilowatts,J-1772,chip.deukmejian,"","Nov 2, 2023","Nov 2, 2023check_circlecancelaccess_timeinfochip.deukmejian solarpower J-1772  Volts  Amps 6 Kilowatts Somebody fixed the plug so it works now.  Honda Clarity. Charging fine.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/115,"", Kilowatts,J-1772,Mikey80,Outlander Plug-In Hybrid 2022,"Oct 3, 2023","Oct 3, 2023check_circlecancelaccess_timeinfoMikey80 solarpowerOutlander Plug-In Hybrid 2022 J-1772  Volts  Amps  Kilowatts The plug is broken, I didn’t even try it since it looks like it could fry my car!(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/115,Broken Hardware,0 Kilowatts,J-1772,Raven King,Other Vehicle,"Aug 2, 2023","Aug 2, 2023check_circlecancelaccess_timeinfoRaven King solarpowerOther VehicleBroken Hardware J-1772  Volts  Amps 0 Kilowatts Station still has broken handle. Blink was informed of issue months ago, they don't seem to care to fix it.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/115,Broken Hardware, Kilowatts,J-1772,CHARLESP2009,Tesla Model 3,"Jun 11, 2023","Jun 11, 2023check_circlecancelaccess_timeinfoCHARLESP2009 solarpowerTesla Model 3Broken Hardware J-1772  Volts  Amps  Kilowatts Still broken :-((edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/115,Broken Hardware,0 Kilowatts,J-1772,Raven King,Other Vehicle,"Jun 8, 2023","Jun 8, 2023check_circlecancelaccess_timeinfoRaven King solarpowerOther VehicleBroken Hardware J-1772  Volts  Amps 0 Kilowatts Charger handle is broken. Called Blink 2 weeks ago to inform of issue. They still haven't fixed it.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/115,Broken Hardware,0 Kilowatts,J-1772,highvoltage,Chevrolet Volt Plug-In Hybrid 2019,"Jun 3, 2023","Jun 3, 2023check_circlecancelaccess_timeinfohighvoltage solarpowerChevrolet Volt Plug-In Hybrid 2019Broken Hardware J-1772  Volts  Amps 0 Kilowatts Pins and latch on connector vandalized/broken. Unable to charge.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/115,Broken Hardware, Kilowatts,J-1772,alisamfp,Toyota Prius Prime,"May 6, 2023","May 6, 2023check_circlecancelaccess_timeinfoalisamfp solarpowerToyota Prius PrimeBroken Hardware J-1772  Volts  Amps  Kilowatts The plug is broken, it wouldn’t chargeMay 14, 2023Blink ResponseWe apologize for the inconvenience! We have an open service case for the charging station. It will be repaired soon. If you need further assistance, please email support@blinkcharging.com. 

Charge on!  
RR(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/115,Broken Hardware, Kilowatts,J-1772,CHARLESP2009,Tesla Model 3,"May 5, 2023","May 5, 2023check_circlecancelaccess_timeinfoCHARLESP2009 solarpowerTesla Model 3Broken Hardware J-1772  Volts  Amps  Kilowatts Charging plug is destroyed :-(May 14, 2023Blink ResponseWe apologize for the inconvenience! We have an open service case for the charging station. It will be repaired soon. If you need further assistance, please email support@blinkcharging.com. 

Charge on!  
RR(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/115,"",6 Kilowatts,J-1772,CHARLESP2009,Tesla Model 3,"Mar 22, 2023","Mar 22, 2023check_circlecancelaccess_timeinfoCHARLESP2009 solarpowerTesla Model 3 J-1772  Volts  Amps 6 Kilowatts Mar 23, 2023Blink ResponseThank you for sharing this feedback. We are happy to see you had a great charging experience. We look forward to you using more of our chargers in the future. Download our Blink Mobile app to stay updated with all of our favorite charging locations. https://onelink.to/5kcvhw 

Charge on!
YE(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/115,"",6 Kilowatts,J-1772,Jason,Nissan LEAF 2010,"Aug 25, 2022","Aug 25, 2022check_circlecancelaccess_timeinfoJason solarpowerNissan LEAF 2010 J-1772  Volts  Amps 6 Kilowatts Aug 30, 2022Blink ResponseThank you for sharing this feedback. We are happy to see you had a great charging experience. We look forward to you using more of our chargers in the future. Download our Blink Mobile app to stay updated with all of our favorite charging locations. https://onelink.to/5kcvhw  

 

Charge on! (edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
