urlsave,probcharg,kilowatt,connector,usernames,usercars,dates,comments
https://www.plugshare.com/location/101,"", Kilowatts,J-1772,Aadkins,Volkswagen ID.4 2024,"Oct 1, 2024","Oct 1, 2024check_circlecancelaccess_timeinfoAadkins solarpowerVolkswagen ID.4 2024 J-1772  Volts  Amps  Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/101,"", Kilowatts,J-1772,KST,Tesla Model 3,"Sep 2, 2024","Sep 2, 2024check_circlecancelaccess_timeinfoKST solarpowerTesla Model 3 J-1772  Volts  Amps  Kilowatts Pretty slow. But thankful for the food and top up.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/101,"", Kilowatts,J-1772,Caleb Brownfield,Chevrolet Bolt EV 2020,"Aug 8, 2024","Aug 8, 2024check_circlecancelaccess_timeinfoCaleb Brownfield solarpowerChevrolet Bolt EV 2020 J-1772  Volts  Amps  Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/101,"",0 Kilowatts,J-1772,Forrest Pittman,Toyota Prius Prime,"Feb 16, 2024","Feb 16, 2024check_circlecancelaccess_timeinfoForrest Pittman solarpowerToyota Prius Prime J-1772  Volts  Amps 0 Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/101,"", Kilowatts,J-1772,Deborah Schmidt,Kia EV6 2023,"Dec 8, 2023","Dec 8, 2023check_circlecancelaccess_timeinfoDeborah Schmidt solarpowerKia EV6 2023 J-1772  Volts  Amps  Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/101,"", Kilowatts,J-1772,Radchad,GMC Hummer EV SUV 2024,"Dec 5, 2023","Dec 5, 2023check_circlecancelaccess_timeinfoRadchad solarpowerGMC Hummer EV SUV 2024 J-1772  Volts  Amps  Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/101,"", Kilowatts,J-1772,Radchad,GMC Hummer EV SUV 2024,"Dec 5, 2023","Dec 5, 2023check_circlecancelaccess_timeinfoRadchad solarpowerGMC Hummer EV SUV 2024 J-1772  Volts  Amps  Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/101,"",0 Kilowatts,J-1772,Mike B,Chrysler Pacifica Plug-in Hybrid 2021,"Nov 14, 2023","Nov 14, 2023check_circlecancelaccess_timeinfoMike B solarpowerChrysler Pacifica Plug-in Hybrid 2021 J-1772  Volts  Amps 0 Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/101,"", Kilowatts,J-1772,Keith,Kia EV6 2023,"Sep 19, 2023","Sep 19, 2023check_circlecancelaccess_timeinfoKeith solarpowerKia EV6 2023 J-1772  Volts  Amps  Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/101,"",6 Kilowatts,J-1772,Keith,Kia EV6 2023,"Sep 19, 2023","Sep 19, 2023check_circlecancelaccess_timeinfoKeith solarpowerKia EV6 2023 J-1772  Volts  Amps 6 Kilowatts West side of McDonald’s building.  6kwh.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/101,"",0 Kilowatts,J-1772,Ronald Sabin,Chevrolet Bolt EUV 2022,"Sep 15, 2023","Sep 15, 2023check_circlecancelaccess_timeinfoRonald Sabin solarpowerChevrolet Bolt EUV 2022 J-1772  Volts  Amps 0 Kilowatts Sign in parking lot says customers only.    Sign on door of restaurant says limit time to 60 minutes.   ICE cars use some eV spaces(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/101,"",0 Kilowatts,J-1772,Twayna Sellers,Volvo C40 Recharge 2023,"Aug 20, 2023","Aug 20, 2023check_circlecancelaccess_timeinfoTwayna Sellers solarpowerVolvo C40 Recharge 2023 J-1772  Volts  Amps 0 Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/101,"",0 Kilowatts,J-1772,CMullins,Chevrolet Bolt EV 2019,"Jul 17, 2023","Jul 17, 2023check_circlecancelaccess_timeinfoCMullins solarpowerChevrolet Bolt EV 2019 J-1772  Volts  Amps 0 Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/101,"", Kilowatts,J-1772,Robert Rogers,Kia EV6 2022,"Jul 12, 2023","Jul 12, 2023check_circlecancelaccess_timeinfoRobert Rogers solarpowerKia EV6 2022 J-1772  Volts  Amps  Kilowatts J-1772 6kw.  Used the right side charger and worked fine.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/101,"",0 Kilowatts,"",Jennifer Bell,Ford F-150 Lightning 2022,"Jun 30, 2023","Jun 30, 2023check_circlecancelaccess_timeinfoJennifer Bell solarpowerFord F-150 Lightning 2022   Volts  Amps 0 Kilowatts Couldn't charge because non EVs were parked in all the spots.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/101,"",6 Kilowatts,J-1772,Jordan Adkins,Genesis GV60 2023,"Jun 18, 2023","Jun 18, 2023check_circlecancelaccess_timeinfoJordan Adkins solarpowerGenesis GV60 2023 J-1772  Volts  Amps 6 Kilowatts Grabbed a quick charge from the right side charger while walking to Kroger for a few items.
Worked fine, but an employee commented that he has never seen someone use it as people are normally blocking the spots.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/101,Could Not Activate,0 Kilowatts,J-1772,brad,Kia EV6 2022,"Jun 11, 2023","Jun 11, 2023check_circlecancelaccess_timeinfobrad solarpowerKia EV6 2022Could Not Activate J-1772  Volts  Amps 0 Kilowatts Could not charge on right side charger. 
Chargers blocked by employee cars(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/101,"",6 Kilowatts,J-1772,JaredC,Tesla Model Y,"Feb 27, 2023","Feb 27, 2023check_circlecancelaccess_timeinfoJaredC solarpowerTesla Model Y J-1772  Volts  Amps 6 Kilowatts Used the charger on the right. Tesla adapter fit fine.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/101,"", Kilowatts,J-1772,bpark,Nissan LEAF 2018,"Feb 11, 2023","Feb 11, 2023check_circlecancelaccess_timeinfobpark solarpowerNissan LEAF 2018 J-1772  Volts  Amps  Kilowatts The station on the right is working fine. McDonald’s drive thru open until midnight.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/101,"", Kilowatts,J-1772,J.A.R.V.I.S.,Tesla Model 3,"Jan 19, 2023","Jan 19, 2023check_circlecancelaccess_timeinfoJ.A.R.V.I.S. solarpowerTesla Model 3 J-1772  Volts  Amps  Kilowatts Just charged for a short time. Was getting 30 miles per hr.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/101,"", Kilowatts,J-1772,Laura,Tesla Model Y,"Oct 1, 2022","Oct 1, 2022check_circlecancelaccess_timeinfoLaura solarpowerTesla Model Y J-1772  Volts  Amps  Kilowatts One charger not accepting the Tesla adapter. Located next to drive through lane.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/101,"",0 Kilowatts,J-1772,yumic92,A3 Sportback e-tron,"Aug 29, 2022","Aug 29, 2022check_circlecancelaccess_timeinfoyumic92 solarpowerA3 Sportback e-tron J-1772  Volts  Amps 0 Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/101,"", Kilowatts,J-1772,Jeffrey Kirch,Kia Niro EV 2019,"Jul 17, 2022","Jul 17, 2022check_circlecancelaccess_timeinfoJeffrey Kirch solarpowerKia Niro EV 2019 J-1772  Volts  Amps  Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/101,"",6 Kilowatts,J-1772,ddawg021,Tesla Model 3,"Jul 13, 2022","Jul 13, 2022check_circlecancelaccess_timeinfoddawg021 solarpowerTesla Model 3 J-1772  Volts  Amps 6 Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/101,"", Kilowatts,J-1772,melody9102,Kia EV6 2022,"Jul 1, 2022","Jul 1, 2022check_circlecancelaccess_timeinfomelody9102 solarpowerKia EV6 2022 J-1772  Volts  Amps  Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/101,"",6 Kilowatts,J-1772,Sandy,Tesla Model S,"Mar 26, 2022","Mar 26, 2022check_circlecancelaccess_timeinfoSandy solarpowerTesla Model S J-1772  Volts  Amps 6 Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/101,"",6 Kilowatts,J-1772,"Team Burkhart, LLC.",Kia Niro EV 2021,"Nov 25, 2021","Nov 25, 2021check_circlecancelaccess_timeinfoTeam Burkhart, LLC. solarpowerKia Niro EV 2021 J-1772  Volts  Amps 6 Kilowatts Thanks for the charge McDonald’s it is appreciated!(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/101,"",0 Kilowatts,J-1772,Jeff,Nissan LEAF 2010,"Oct 8, 2021","Oct 8, 2021check_circlecancelaccess_timeinfoJeff solarpowerNissan LEAF 2010 J-1772  Volts  Amps 0 Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/101,Permanently Closed,0 Kilowatts,J-1772,Smurfette,Chevrolet Bolt EV 2020,"Jul 26, 2021","Jul 26, 2021check_circlecancelaccess_timeinfoSmurfette solarpowerChevrolet Bolt EV 2020Permanently Closed J-1772  Volts  Amps 0 Kilowatts No longer a public reliable charger. McDonald's staff will unplug your car if you are not inside the restaurant. Even if you go through the drive thru and plug in while you eat they will come out and tell you ""charging is for dine in customers only"".  
I will go out of my way to a McDonald's under a different franchisee for all of my purchases now.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/101,Broken Hardware,0 Kilowatts,J-1772,brad,Honda Clarity Plug-In Hybrid 2017,"Jun 19, 2021","Jun 19, 2021check_circlecancelaccess_timeinfobrad solarpowerHonda Clarity Plug-In Hybrid 2017Broken Hardware J-1772  Volts  Amps 0 Kilowatts Destroyed and not functional. One has been vandalized. One blinks that's its charging but does not charge. Not maintained and nasty.(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/101,"",0 Kilowatts,J-1772,Smurfette,Chevrolet Bolt EV 2020,"May 23, 2021","May 23, 2021check_circlecancelaccess_timeinfoSmurfette solarpowerChevrolet Bolt EV 2020 J-1772  Volts  Amps 0 Kilowatts Great As Always!(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/101,"",0 Kilowatts,J-1772,Jordan,Chevrolet Bolt EV 2017,"Mar 18, 2021","Mar 18, 2021check_circlecancelaccess_timeinfoJordan solarpowerChevrolet Bolt EV 2017 J-1772  Volts  Amps 0 Kilowatts Worked great(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/101,"",0 Kilowatts,J-1772,Jacob Loftis,Smart Fortwo ED W453,"Mar 3, 2021","Mar 3, 2021check_circlecancelaccess_timeinfoJacob Loftis solarpowerSmart Fortwo ED W453 J-1772  Volts  Amps 0 Kilowatts Good charger(edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/101,"",0 Kilowatts,J-1772,WB3FFV,Ford Fusion Energi,"Nov 11, 2020","Nov 11, 2020check_circlecancelaccess_timeinfoWB3FFV solarpowerFord Fusion Energi J-1772  Volts  Amps 0 Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
https://www.plugshare.com/location/101,"",7 Kilowatts,J-1772,atomwrath,Chevrolet Bolt EV 2017,"Sep 2, 2020","Sep 2, 2020check_circlecancelaccess_timeinfoatomwrath solarpowerChevrolet Bolt EV 2017 J-1772  Volts  Amps 7 Kilowatts (edited)  Was this helpful?  driver found this helpful  drivers found this helpful"
